Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS▼,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
141,Corey Kluber,35,NYY,AL,5,3,0.625,3.83,16,16,0,1,1,0,80,74,37,34,8,33,0,82,5,0,3,341,112,3.85,1.338,8.3,0.9,3.7,9.2,2.48
142,Carlos Martinez,29,STL,NL,4,9,0.308,6.23,16,16,0,0,0,0,82.1,77,58,57,8,36,2,57,11,0,3,363,62,4.76,1.372,8.4,0.9,3.9,6.2,1.58
143,Bryse Wilson,23,TOT,NL,3,7,0.3,5.35,16,16,0,0,0,0,74,85,45,44,15,22,3,46,1,1,2,322,81,5.49,1.446,10.3,1.8,2.7,5.6,2.09
144,Tyler Alexander*,26,DET,AL,2,4,0.333,3.81,41,15,7,0,0,0,106.1,106,47,45,16,28,0,87,4,0,2,451,114,4.39,1.26,9,1.4,2.4,7.4,3.11
145,Matthew Boyd*,30,DET,AL,3,8,0.273,3.89,15,15,0,0,0,0,78.2,77,37,34,9,23,0,67,7,0,4,337,112,4.1,1.271,8.8,1,2.6,7.7,2.91
146,Jacob deGrom,33,NYM,NL,7,2,0.778,1.08,15,15,0,1,1,0,92,40,14,11,6,11,0,146,1,0,0,324,377,1.24,0.554,3.9,0.6,1.1,14.3,13.27
147,Jack Flaherty,25,STL,NL,9,2,0.818,3.22,17,15,0,0,0,0,78.1,57,35,28,12,26,1,85,6,0,4,322,121,4.22,1.06,6.5,1.4,3,9.8,3.27
148,Spencer Howard,24,TOT,MLB,0,5,0,7.43,19,15,1,0,0,0,49.2,53,45,41,7,27,0,52,3,0,5,229,58,4.72,1.611,9.6,1.3,4.9,9.4,1.93
149,Daniel Lynch*,24,KCR,AL,4,6,0.4,5.69,15,15,0,0,0,0,68,80,46,43,9,31,0,55,4,1,4,311,80,4.82,1.632,10.6,1.2,4.1,7.3,1.77
150,Luis Patino,21,TBR,AL,5,3,0.625,4.31,19,15,0,0,0,0,77.1,69,40,37,12,29,2,74,3,1,7,333,93,4.51,1.267,8,1.4,3.4,8.6,2.55
151,David Peterson*,25,NYM,NL,2,6,0.25,5.54,15,15,0,0,0,0,66.2,64,44,41,11,29,0,69,5,0,6,287,73,4.78,1.395,8.6,1.5,3.9,9.3,2.38
152,Justus Sheffield*,25,SEA,AL,7,8,0.467,6.83,21,15,0,0,0,0,80.1,105,69,61,14,43,1,63,5,0,5,385,62,5.66,1.842,11.8,1.6,4.8,7.1,1.47
153,Trevor Williams,29,TOT,NL,4,2,0.667,4.35,23,15,3,0,0,0,91,105,51,44,11,31,0,90,3,0,0,405,97,3.88,1.495,10.4,1.1,3.1,8.9,2.9
154,Nestor Cortes*,26,NYY,AL,2,3,0.4,2.9,22,14,3,0,0,0,93,75,32,30,14,25,0,103,2,1,2,374,148,3.78,1.075,7.3,1.4,2.4,10,4.12
155,Tyler Glasnow,27,TBR,AL,5,2,0.714,2.66,14,14,0,0,0,0,88,55,26,26,10,27,0,123,0,0,8,340,150,2.77,0.932,5.6,1,2.8,12.6,4.56
156,Griffin Jax,26,MIN,AL,4,5,0.444,6.37,18,14,2,0,0,0,82,82,62,58,23,29,1,65,5,0,6,360,67,6.47,1.354,9,2.5,3.2,7.1,2.24
157,Chad Kuhl,28,PIT,NL,5,7,0.417,4.82,28,14,2,0,0,0,80.1,73,50,43,13,42,0,75,9,0,9,349,88,5.31,1.432,8.2,1.5,4.7,8.4,1.79
158,Patrick Sandoval*,24,LAA,AL,3,6,0.333,3.62,17,14,2,0,0,1,87,69,38,35,11,36,0,94,4,0,3,363,122,4.03,1.207,7.1,1.1,3.7,9.7,2.61
159,Jose Suarez*,23,LAA,AL,8,8,0.5,3.75,23,14,2,1,0,0,98.1,85,45,41,11,36,1,85,4,1,4,413,118,4.12,1.231,7.8,1,3.3,7.8,2.36
160,Zach Thompson,27,MIA,NL,3,7,0.3,3.24,26,14,2,0,0,0,75,63,35,27,6,28,1,66,3,0,5,315,129,3.69,1.213,7.6,0.7,3.4,7.9,2.36
161,Griffin Canning,25,LAA,AL,5,4,0.556,5.6,14,13,0,0,0,0,62.2,65,41,39,14,28,0,62,1,0,3,277,79,5.48,1.484,9.3,2,4,8.9,2.21
162,Tony Gonsolin,27,LAD,NL,4,1,0.8,3.23,15,13,0,0,0,0,55.2,41,20,20,8,34,0,65,0,0,4,239,127,4.54,1.347,6.6,1.3,5.5,10.5,1.91
163,Josiah Gray,23,TOT,NL,2,2,0.5,5.48,14,13,0,0,0,0,70.2,63,44,43,19,33,3,76,2,0,7,307,74,6,1.358,8,2.4,4.2,9.7,2.3
164,Tanner Houck,25,BOS,AL,1,5,0.167,3.52,18,13,2,0,0,1,69,57,32,27,4,21,1,87,6,0,3,285,135,2.58,1.13,7.4,0.5,2.7,11.3,4.14
165,Dean Kremer,25,BAL,AL,0,7,0,7.55,13,13,0,0,0,0,53.2,63,46,45,17,25,0,47,1,0,5,245,61,6.99,1.64,10.6,2.9,4.2,7.9,1.88
166,Matt Moore*,32,PHI,NL,2,4,0.333,6.29,24,13,5,0,0,0,73,78,54,51,15,38,4,63,2,0,3,334,67,5.76,1.589,9.6,1.8,4.7,7.8,1.66
167,Johan Oviedo,23,STL,NL,0,5,0,4.91,14,13,0,0,0,0,62.1,61,39,34,8,37,2,51,6,0,2,288,79,5.27,1.572,8.8,1.2,5.3,7.4,1.38
168,Caleb Smith*,29,ARI,NL,4,9,0.308,4.83,45,13,4,0,0,0,113.2,93,64,61,20,63,3,124,6,0,2,500,88,5.1,1.372,7.4,1.6,5,9.8,1.97
169,Luke Weaver,27,ARI,NL,3,6,0.333,4.25,13,13,0,0,0,0,65.2,58,34,31,11,20,3,62,1,0,0,275,101,4.42,1.188,7.9,1.5,2.7,8.5,3.1
170,Taylor Widener,26,ARI,NL,2,1,0.667,4.35,23,13,0,0,0,0,70.1,65,38,34,14,37,3,73,7,0,1,319,98,5.56,1.45,8.3,1.8,4.7,9.3,1.97
171,Bruce Zimmermann*,26,BAL,AL,4,5,0.444,5.04,14,13,0,0,0,0,64.1,75,37,36,14,22,0,56,2,1,0,285,91,5.38,1.508,10.5,2,3.1,7.8,2.55
172,Carlos Carrasco,34,NYM,NL,1,5,0.167,6.04,12,12,0,0,0,0,53.2,59,39,36,12,18,0,50,0,0,1,237,67,5.22,1.435,9.9,2,3,8.4,2.78
173,Danny Duffy*,32,KCR,AL,4,3,0.571,2.51,13,12,0,0,0,0,61,52,19,17,6,22,1,65,0,0,3,252,182,3.4,1.213,7.7,0.9,3.2,9.6,2.95
174,Sam Hentges*,24,CLE,AL,1,4,0.2,6.68,30,12,6,0,0,0,68.2,90,54,51,10,32,0,68,0,0,11,318,65,4.48,1.777,11.8,1.3,4.2,8.9,2.13
175,Ranger Suarez*,25,PHI,NL,8,5,0.615,1.36,39,12,13,1,1,4,106,73,20,16,4,33,3,107,5,0,1,418,308,2.72,1,6.2,0.3,2.8,9.1,3.24
176,Logan Allen*,24,CLE,AL,2,7,0.222,6.26,14,11,1,0,0,0,50.1,58,39,35,12,17,0,37,4,0,4,222,70,6.05,1.49,10.4,2.1,3,6.6,2.18
177,Jaime Barria,24,LAA,AL,2,4,0.333,4.61,13,11,0,0,0,0,56.2,70,29,29,8,19,0,35,2,0,0,250,96,4.88,1.571,11.1,1.3,3,5.6,1.84
178,Justin Dunn,25,SEA,AL,1,3,0.25,3.75,11,11,0,0,0,0,50.1,37,21,21,6,29,0,49,4,0,1,218,113,4.74,1.311,6.6,1.1,5.2,8.8,1.69
179,Josh Fleming*,25,TBR,AL,10,8,0.556,5.09,26,11,1,0,0,1,104.1,110,60,59,11,31,5,65,3,0,0,448,78,4.27,1.351,9.5,0.9,2.7,5.6,2.1
180,Taylor Hearn*,26,TEX,AL,6,6,0.5,4.66,42,11,10,0,0,0,104.1,96,58,54,17,42,1,92,3,0,6,441,94,4.82,1.323,8.3,1.5,3.6,7.9,2.19
181,Carlos Hernandez,24,KCR,AL,6,2,0.75,3.68,24,11,1,0,0,0,85.2,69,36,35,7,41,1,74,4,1,6,358,124,4.08,1.284,7.2,0.7,4.3,7.8,1.8
182,Elieser Hernandez,26,MIA,NL,1,3,0.25,4.18,11,11,0,0,0,0,51.2,54,26,24,13,14,2,53,3,0,1,225,100,5.38,1.316,9.4,2.3,2.4,9.2,3.79
183,Jeff Hoffman,28,CIN,NL,3,5,0.375,4.56,31,11,7,0,0,0,73,70,41,37,12,45,2,79,5,0,9,335,105,5.2,1.575,8.6,1.5,5.5,9.7,1.76
